  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      15.12          5.90               908              2412      4      4           2           6           6           6           6           6           6 
   2      14.12          6.01              2412              6192      4      4           6          20          20          16          16          16          16 
   3      14.11          6.02              6192             13772      4      4          16          60          60          36          36          36          36 
   4      14.09          6.30             13772             28952      4      4          36         144         144          76          76          76          76 
   5      14.09          6.72             28952             56264      4      4          76         324         324         148         148         148         148 
   6      15.10          7.13             56264            102140      4      4         148         650         650         269         269         269         269 
   7      14.10          7.85            102140            179168      4      4         269        1232        1232         472         472         472         472 
   8      15.10          8.78            179168            301244      4      4         472        2218        2218         793         793         793         793 
   9      15.12          9.75            301244            491508      4      4         793        3838        3838        1290        1290        1290        1290 
  10      15.11         10.50            491508            777376      4      4        1290        6374        6374        2034        2034        2034        2034 
  11      15.09         11.82            777376           1198339      4      4        2034       10272       10272        3126        3126        3126        3126 
  12      15.10         13.08           1198339           1803574      4      4        3126       16074       16074        4691        4691        4691        4691 
  13      15.18         14.09           1803574           2663456      4      4        4691       24542       24542        6892        6892        6892        6892 
  14      16.10         16.06           2663456           3860156      4      4        6892       36620       36620        9924        9924        9924        9924 
  15      16.09         17.77           3860156           5494399      4      4        9924       53504       53504       14039       14039       14039       14039 
  16      17.09         20.04           5494399           7686849      4      4       14039       76680       76680       19523       19523       19523       19523 
  17      17.11         22.79           7686849          10612550      4      4       19523      107984      107984       26736       26736       26736       26736 
  18      18.09         26.32          10612550          14458047      4      4       26736      149570      149570       36068       36068       36068       36068 
  19      19.12         30.64          14458047          19428266      4      4       36068      203956      203956       48002       48002       48002       48002 
  20      20.11         37.42          19428266          25769329      4      4       48002      274156      274156       63044       63044       63044       63044 
  21      21.10         43.94          25769329          33818840      4      4       63044      363436      363436       81787       81787       81787       81787 
  22      23.12         51.71          33818840          43883929      4      4       81787      475614      475614      104848      104848      104848      104848 
  23      25.11         61.92          43883929          56306947      4      4      104848      614688      614688      132915      132915      132915      132915 
  24      28.44         73.80          56306947          71552602      4      4      132915      785182      785182      166672      166672      166672      166672 
  25      31.12         89.24          71552602          90094591      4      4      166672      991566      991566      206861      206861      206861      206861 
  26      35.13        106.18          90094591         112344440      4      4      206861     1238846     1238846      254172      254172      254172      254172 
  27      40.14        126.84         112344440         138826299      4      4      254172     1531500     1531500      309330      309330      309330      309330 
  28      45.15        154.29         138826299         170149120      4      4      309330     1874538     1874538      372950      372950      372950      372950 
  29      50.13        178.65         170149120         206830992      4      4      372950     2271966     2271966      445636      445636      445636      445636 
  30      58.15        210.71         206830992         249269387      4      4      445636     2728078     2728078      527826      527826      527826      527826 
  31      67.20        250.28         249269387         298108113      4      4      527826     3245580     3245580      619895      619895      619895      619895 
  32      77.23        291.46         298108113         353978381      4      4      619895     3827460     3827460      721997      721997      721997      721997 
  33      86.22        338.58         353978381         417154757      4      4      721997     4474320     4474320      834159      834159      834159      834159 
  34      99.21        391.87         417154757         487973239      4      4      834159     5186954     5186954      956142      956142      956142      956142 
  35     115.22        452.05         487973239         566831314      4      4      956142     5963160     5963160     1087545     1087545     1087545     1087545 
  36     124.24        525.91         566831314         653401405      4      4     1087545     6800916     6800916     1227675     1227675     1227649     2455350 
  37     145.25        592.41         653406131         747618242      8      4     1227649     7694650     7694650     1375602     1375602     1375567     2516311 
  38     162.30        671.75         747621901         849942434      8      4     1375567     8639176     8639176     1530122     1530122     1530073     2654971 
  39     177.92        741.74         849947419         959638377      8      4     1530073     9625188     9625188     1689809     1689809     1689777     2797359 
  40     192.33        814.56         959642534        1075749345      8      4     1689777    10644328    10644328     1853016     1853016     1852983     2945915 
  41     212.65        898.34        1075752071        1198457049      8      4     1852983    11683922    11683922     2017889     2017889     2017850     3340139 
  42     229.82        983.91        1198470746        1326473810     12      4     2017850    12732742    12732742     2182366     2182366     2182301     3235004 
  43     244.59       1070.13        1326481710        1457893263     12      4     2182301    13775322    13775322     2344250     2344250     2344174     3599771 
