  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      23.20        186.97              2654              2970     64     64           2           6           6           6           6           6           6 
   2      23.21        187.50              2970              3760     64     64           6          20          20          16          16          16          16 
   3      23.32        188.06              3760              5340     64     64          16          60          60          36          36          36          36 
   4      24.20        187.96              5340              8500     64     64          36         144         144          76          76          76          76 
   5      23.21        188.16              8500             14188     64     64          76         324         324         148         148         148         148 
   6      23.17        189.19             14188             24498     64     64         148         664         664         278         278         278         278 
   7      23.18        189.60             24498             41148     64     64         278        1290        1290         488         488         488         488 
   8      23.19        188.68             41148             69448     64     64         488        2352        2352         840         840         840         840 
   9      24.21        189.61             69448            114916     64     64         840        4164        4164        1388        1388        1388        1388 
  10      23.19        192.42            114916            187081     64     64        1388        7076        7076        2242        2242        2242        2242 
  11      24.17        193.78            187081            296254     64     64        2242       11700       11700        3518        3518        3518        3518 
  12      23.17        197.90            296254            459525     64     64        3518       18782       18782        5420        5420        5420        5420 
  13      23.17        203.63            459525            701131     64     64        5420       29482       29482        8154        8154        8154        8154 
  14      23.18        211.03            701131           1054647     64     64        8154       45224       45224       12084       12084       12084       12084 
  15      23.19        221.72           1054647           1547623     64     64       12084       68096       68096       17566       17566       17566       17566 
  16      23.19        233.25           1547623           2234275     64     64       17566      100644      100644       25188       25188       25188       25188 
  17      24.17        247.85           2234275           3185509     64     64       25188      146348      146348       35548       35548       35548       35548 
  18      24.21        263.18           3185509           4488298     64     64       35548      209508      209508       49564       49564       49564       49564 
  19      24.17        273.64           4488298           6225906     64     64       49564      295744      295744       68154       68154       68154       68154 
  20      24.20        289.99           6225906           8529132     64     64       68154      411830      411830       92714       92714       92714       92714 
  21      24.19        302.22           8529132          11548667     64     64       92714      566458      566458      124608      124608      124608      124608 
  22      24.16        317.97          11548667          15494450     64     64      124608      769848      769848      165822      165822      165822      165822 
  23     211.35        333.86          15494450          20559854     64     64      165822     1034720     1034720      218318      218318      218318      218318 
  24      25.17        349.45          20559854          27007978     64     64      218318     1375936     1375936      284844      284844      284844      284844 
  25      25.18        366.84          27007978          35120262     64     64      284844     1811398     1811398      368052      368052      368052      368052 
  26      25.16        391.86          35120262          45306936     64     64      368052     2361646     2361646      471630      471630      471630      471630 
  27      26.18        415.61          45306936          57940572     64     64      471630     3050964     3050964      599036      599036      599036      599036 
  28      26.17        457.64          57940572          73521578     64     64      599036     3906634     3906634      754976      754976      754976      754976 
  29      27.21        502.33          73521578          92526999     64     64      754976     4960162     4960162      943828      943828      943828      943828 
  30      27.16        547.70          92526999         115551028     64     64      943828     6246434     6246434     1171392     1171392     1171392     1171392 
  31      28.17        603.11         115551028         143183887     64     64     1171392     7804740     7804740     1442898     1442898     1442898     1442898 
  32      29.20        673.32         143183887         176236637     64     64     1442898     9677698     9677698     1765284     1765284     1765284     1765284 
  33      35.18        757.49         176236637         215442326     64     64     1765284    11912428    11912428     2144542     2144542     2144542     2144542 
  34      36.19        845.25         215442326         261666403     64     64     2144542    14558820    14558820     2588552     2588552     2588552     2588552 
  35      37.17        953.75         261666403         315628585     64     64     2588552    17670696    17670696     3103900     3103900     3103900     3103900 
  36      40.23       1089.32         315628585         378274522     64     64     3103900    21303964    21303964     3699168     3699168     3699168     3699168 
  37      46.18       1227.36         378274522         450386921     64     64     3699168    25517142    25517142     4381086     4381086     4381086     4381086 
  38      49.19       1398.94         450386921         533116208     64     64     4381086    30369354    30369354     5158608     5158608     5158608     5158608 
  39      56.62       1596.10         533116208         627360577     64     64     5158608    35920870    35920870     6038102     6038102     6038102     6038102 
  40      65.21       1822.33         627360577         734252081     64     64     6038102    42230224    42230224     7028256     7028256     7028256     7028256 
  41      68.23       2061.02         734252081         854582868     64     64     7028256    49354870    49354870     8134518     8134518     8134518     8134518 
  42      77.22       2360.29         854582868         989257175     64     64     8134518    57348062    57348062     9364650     9364650     9364650     9364650 
  43      81.59       2667.62         989257175        1138759527     64     64     9364650    66258980    66258980    10722312    10722312    10722312    10722312 
  44      91.24       2993.21        1138759527        1303924358     64     64    10722312    76129650    76129650    12213700    12213700    12213700    12213700 
  45     106.27       3420.17        1303924358        1485191931     64     64    12213700    86995118    86995118    13839898    13839898    13839898    13839898 
  46     112.25       3863.66        1485191931        1683226125     64     64    13839898    98879810    98879810    15604634    15604634    15604634    15604634 
  47     131.29       4343.73        1683226125        1897917475     64     64    15604634   111798078   111798078    17505744    17505744    17505744    17505744 
  48     136.29       4834.16        1897917475        2129358202     64     64    17505744   125750874   125750874    19543786    19543786    19543786    19543786 
  49     152.30       5428.32        2129358202        2376886562     64     64    19543786   140725894   140725894    21712534    21712534    21712534    21712534 
